Date : 2026-03-08 16:08:31
Directory : c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main
Total : 344 files,  48453 codes, 3205 comments, 6454 blanks, all 58112 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\public\ScholarX-Logo-Icon-Blue_ScholarX.svg                                          | XML            |         12 |          0 |          0 |         12 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\public\ScholarX-Logo-Icon-White-Blue-BG_ScholarX.svg                                 | XML            |         18 |          0 |          2 |         20 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\public\certificate-template.svg                                                      | XML            |          1 |          0 |          0 |          1 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\public\vite.svg                                                                      | XML            |          1 |          0 |          0 |          1 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\App.css                                                                          | PostCSS        |          0 |          0 |          2 |          2 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\App.jsx                                                                          | JavaScript JSX |        297 |         10 |         14 |        321 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\assets\Images\react.svg                                                          | XML            |          1 |          0 |          0 |          1 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\Admin\CourseEditorModal\CourseEditorModal.jsx                         | JavaScript JSX |        524 |         36 |         38 |        598 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\Admin\CourseEditorModal\CourseEditorModal.module.css                  | PostCSS        |        626 |         24 |        104 |        754 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\Admin\CourseEditorModal\index.js                                      | JavaScript     |          1 |          3 |          1 |          5 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\BlockedUserMessage\BlockedUserMessage.css                             | PostCSS        |        152 |          1 |         25 |        178 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\BlockedUserMessage\BlockedUserMessage.jsx                             | JavaScript JSX |         49 |          0 |          7 |         56 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\BlockedUserMessage\BlockedUserMessage.module.css                      | PostCSS        |        152 |          1 |         25 |        178 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\CertificateModal\CertificateModal.jsx                                 | JavaScript JSX |        207 |          6 |         26 |        239 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\Certificate\Certificate.jsx                                           | JavaScript JSX |        257 |         22 |         34 |        313 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\Certificate\Certificate.module.css                                    | PostCSS        |        310 |          3 |         54 |        367 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\CourseCards\CourseCards.css                                           | PostCSS        |         34 |          0 |          6 |         40 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\CourseCards\CourseCards.jsx                                           | JavaScript JSX |         14 |          0 |          2 |         16 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\CourseEnrollmentModal\CourseEnrollmentModal.jsx                       | JavaScript JSX |        306 |         23 |         29 |        358 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\CourseEnrollmentModal\courseEnrollmentSchema.js                       | JavaScript     |         77 |          5 |         12 |         94 |
