"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "XML", "PostCSS", "JavaScript JSX", "YAML", "TypeScript", "comment", "blank", "total"
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Sales\components\InquiriesTable\InquiriesTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 247, 0, 0, 10, 12, 269
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Sales\components\InquiriesTable\InquiriesTable.module.css", "PostCSS", 0, 0, 0, 0, 0, 255, 0, 0, 0, 10, 39, 304
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Sales\components\InquiryDetailDrawer\InquiryDetailDrawer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 663, 0, 0, 44, 57, 764
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Sales\components\InquiryDetailDrawer\InquiryDetailDrawer.module.css", "PostCSS", 0, 0, 0, 0, 0, 417, 0, 0, 0, 11, 33, 461
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Sales\components\StatsCards\StatsCards.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 5, 9, 140
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Sales\components\StatsCards\StatsCards.module.css", "PostCSS", 0, 0, 0, 0, 0, 109, 0, 0, 0, 4, 17, 130
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Sales\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Search\SearchResults.css", "PostCSS", 0, 0, 0, 0, 0, 27, 0, 0, 0, 1, 4, 32
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Search\SearchResults.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 8, 58
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\Services.css", "PostCSS", 0, 0, 0, 0, 0, 281, 0, 0, 0, 4, 52, 337
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\Services.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 220, 0, 0, 64, 28, 312
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\AmbassadorModal\AmbassadorModal.css", "PostCSS", 0, 0, 0, 0, 0, 164, 0, 0, 0, 1, 25, 190
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\AmbassadorModal\AmbassadorModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 4, 15, 145
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\DemoPage\DemoPage.css", "PostCSS", 0, 0, 0, 0, 0, 159, 0, 0, 0, 1, 31, 191
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\DemoPage\DemoPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 201, 0, 0, 8, 19, 228
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\EventRegistrationModal\EventRegistrationModal.css", "PostCSS", 0, 0, 0, 0, 0, 288, 0, 0, 0, 2, 50, 340
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\EventRegistrationModal\EventRegistrationModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 315, 0, 0, 27, 28, 370
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\EventRegistrationModal\EventRegistrationModal.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 215, 0, 0, 11, 54, 280
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\EventRegistrationModal\IMPLEMENTATION.md", "Markdown", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 80, 281
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\EventRegistrationModal\OVERVIEW.md", "Markdown", 0, 404, 0, 0, 0, 0, 0, 0, 0, 0, 151, 555
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\EventRegistrationModal\QUICK_REFERENCE.md", "Markdown", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 40, 192
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\EventRegistrationModal\README.md", "Markdown", 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 71, 298
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\EventRegistrationModal\USAGE.md", "Markdown", 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 73, 384
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\EventRegistrationModal\eventRegistrationSchema.js", "JavaScript", 0, 0, 0, 95, 0, 0, 0, 0, 0, 7, 13, 115
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\MentorshipModal\MentorshipModal.css", "PostCSS", 0, 0, 0, 0, 0, 164, 0, 0, 0, 1, 25, 190
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\MentorshipModal\MentorshipModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 4, 15, 145
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\PodcastModal\PodcastModal.css", "PostCSS", 0, 0, 0, 0, 0, 279, 0, 0, 0, 4, 48, 331
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\PodcastModal\PodcastModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 1, 8, 80
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\ServiceCard\ServiceCard.css", "PostCSS", 0, 0, 0, 0, 0, 88, 0, 0, 0, 1, 13, 102
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\components\ServiceCard\ServiceCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 5, 8, 75
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\hooks\useEventInterest.js", "JavaScript", 0, 0, 0, 90, 0, 0, 0, 0, 0, 14, 16, 120
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\services\eventRegistrationApi.js", "JavaScript", 0, 0, 0, 162, 0, 0, 0, 0, 0, 35, 24, 221
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Services\types\eventRegistration.types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 59, 10, 9, 78
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Signup\Signup.css", "PostCSS", 0, 0, 0, 0, 0, 379, 0, 0, 0, 24, 70, 473
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Signup\Signup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 274, 0, 0, 27, 19, 320
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\TermsOfService\TermsOfService.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 10, 7, 68
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\TermsOfService\TermsOfService.module.css", "PostCSS", 0, 0, 0, 0, 0, 132, 0, 0, 0, 4, 21, 157
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\TermsOfService\constants\index.js", "JavaScript", 0, 0, 0, 334, 0, 0, 0, 0, 0, 9, 6, 349
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\TermsOfService\index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 2, 7
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\VerifyEmail\VerifyEmail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 5, 11, 76
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\forget-password\forget.css", "PostCSS", 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 23, 153
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\forget-password\forget.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 9, 87
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\myCourses\MyCourses.css", "PostCSS", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 4, 40
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\myCourses\MyCourses.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 7, 60
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\reset-password\reset.css", "PostCSS", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 12, 80
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\reset-password\reset.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 11, 126
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\providers\QueryProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 10, 4, 35
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\services\api.js", "JavaScript", 0, 0, 0, 272, 0, 0, 0, 0, 0, 78, 42, 392
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\store\index.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 2, 30
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\store\slices\adminSlice.js", "JavaScript", 0, 0, 0, 681, 0, 0, 0, 0, 0, 15, 34, 730
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\store\slices\authSlice.js", "JavaScript", 0, 0, 0, 152, 0, 0, 0, 0, 0, 9, 10, 171
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\store\slices\certificateSlice.js", "JavaScript", 0, 0, 0, 217, 0, 0, 0, 0, 0, 10, 11, 238
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\store\slices\courseSlice.js", "JavaScript", 0, 0, 0, 125, 0, 0, 0, 0, 0, 5, 7, 137
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\store\slices\lessonSlice.js", "JavaScript", 0, 0, 0, 138, 0, 0, 0, 0, 0, 9, 11, 158
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\store\slices\searchSlice.js", "JavaScript", 0, 0, 0, 56, 0, 0, 0, 0, 0, 1, 4, 61
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\store\slices\uiSlice.js", "JavaScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 4, 62
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\styles\sweetalert.css", "PostCSS", 0, 0, 0, 0, 0, 32, 0, 0, 0, 1, 6, 39
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\utils\constants.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 22, 7, 69
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\utils\dateUtils.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 14, 2, 31
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\utils\errorUtils.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 39, 6, 80
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\utils\errorUtils.test.js", "JavaScript", 0, 0, 0, 103, 0, 0, 0, 0, 0, 6, 17, 126
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\utils\imageUtils.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 25, 8, 50
